ID,State,YEAR,Asset,Equity,Financial Leverage,Financial Leverage Ratio,Equity Net Income,IR,ROA,latitude,longitude
CB_2011_NC,North Carolina,2011,1714023674,204639201,8.375832517,2.375832517,10289058,0.011373383,0.593459516,35.49967047,-79.10223033
CB_2011_ND,North Dakota,2011,25463718,2633261,9.670031949,3.670031949,330519,0.011373383,1.283237117,47.53318374,-99.87728715
CB_2011_NE,Nebraska,2011,50885939,5334035,9.539858475,3.539858475,571584,0.011373383,1.110489788,41.27923812,-98.79016149
CB_2011_NH,New Hampshire,2011,2864026,304327,9.411015125,3.411015125,21147,0.011373383,0.72996848,43.40460397,-71.65968883
CB_2011_NJ,New Jersey,2011,73622010,6264435,11.75237831,5.75237831,15121,0.011373383,0.0203051,40.21945002,-74.63439848
CB_2011_NM,New Mexico,2011,13701494,1409633,9.719901563,3.719901563,74852,0.011373383,0.540092048,34.43756761,-105.9641391
CB_2011_NV,Nevada,2011,37139895,8671163,4.283150369,-1.716849631,1663865,0.011373383,4.429041132,38.6258707,-116.7215876
CB_2011_NY,New York,2011,653733790,75219106,8.691060354,2.691060354,5742525,0.011373383,0.868428885,42.48277663,-75.35484467
CB_2011_OH,Ohio,2011,2457902396,198894639,12.35781119,6.35781119,20597003,0.011373383,0.828460293,40.39667963,-82.88624562
CB_2011_OK,Oklahoma,2011,78353784,7844389,9.988513318,3.988513318,780029,0.011373383,0.984199348,35.52994365,-97.3002328
CB_2011_OR,Oregon,2011,34031676,4506283,7.552050326,1.552050326,215275,0.011373383,0.625377942,44.34036466,-121.8863932
CB_2011_PA,Pennsylvania,2011,128587385,15867676,8.103731448,2.103731448,961419,0.011373383,0.739173919,40.69615224,-77.75397076
CB_2011_PR,Puerto Rico,2011,73280393,7680111,9.541579933,3.541579933,298786,0.011373383,0.403092533,18.30369498,-66.13640477
CB_2011_RI,Rhode Island,2011,129524017,20780338,6.233008193,0.233008193,589948,0.011373383,0.450293551,41.54868176,-71.49908653
CB_2011_SC,South Carolina,2011,31678694,3201560,9.894768176,3.894768176,34831,0.011373383,0.108700358,33.91439857,-80.74432706
CB_2011_SD,South Dakota,2011,2493021260,280270597,8.895051021,2.895051021,23951455,0.011373383,0.949813237,44.29870337,-99.72353599
